"Country","Year","Sex","Total","Age00_01","Age01_04","Age05_14","Age15_24","Age25_34","Age35_44","Age45_54","Age55_64","Age65above","Unspecified_Age"
"Egypt",2008,"Male",38394379,1129248.641,2952361.359,8193192,8675558,5750178,4519239,3529271,2180211,2594368.64105,0
"Egypt",2008,"Female",36702922,1081484.165,2799621.835,7654745,8255859,5726319,4506501,3419139,1916137,2424600.16503,0
"Egypt",2009,"Male",39277040,1131800,3046466,8386278,8875873,5880771,4621393,3608036,2228238,2629985,0
"Egypt",2009,"Female",37546064,1085609,2887290,7834799,8445978,5856352,4608315,3495219,1958469,2459642,0
"Egypt",2010,"Male",40250440,1219070,3063246,8595855,9096276,6025547,4735144,3696839,2283103,2754430,0
"Egypt",2010,"Female",38477889,1163338,2908480,8030492,8655719,6000926,4722204,3581580,2006926,2571562,0
"Egypt",2011,"Male",41110578,1248574,3125255,8779545,9290660,6154310,4836333,3775839,2331892,2816744,0
"Egypt",2011,"Female",39299439,1193520,2965236,8201953,8840529,6129053,4823029,3658052,2049776,2631811,0
"Egypt",2012,"Male",42283316.1,1343393,3144330,9009186,9536057,6320147,4967160,3876909,2392462,3037065.1,0
"Egypt",2012,"Female",40285966,1286362,2981795,8419437,9075593,6293835,4951406,3753988,2102759,2707153,0
"Egypt",2013,"Male",43207538,1338679,3499269,8744906,8207912,7752917,5053946,4009957,2718971,3219660,0
"Egypt",2013,"Female",41421443,1283223,3194933,8124283,7762271,7481261,4930172,3947137,2741095,3240291,0
"Egypt",2014,"Male",44300565,1019491,4082001,8952300,8875501,7690634,5068558,4092127,2676880,2842214.72937,0
"Egypt",2014,"Female",42510627,944744,3783416,8357003,8442382,7439118,4952279,4034376,2668227,2804115.04876,0
"Egypt",2015,"Male",45378728,1055825,4169831,9170196,9091531,7877832,5191933,4191699,2741998,2922864,0
"Egypt",2015,"Female",43579105,979174,3867837,8567070,8654601,7626113,5076760,4135757,2735268,2885245.35729,0
"Egypt",2016,"Male",46413993,437069,4907829,9379461,9298998,8057605,5310376,4287285,2804500,2367939,0
"Egypt",2016,"Female",44609400,405633,4555995,8769664,8859272,7806455,5196782,4233484,2799885,2387863,0
"Egypt",2017,"Male",49095021,1340516,5280906,10212613,8950564,7832725,6021120,4354108,3143927,3299058,0
"Egypt",2017,"Female",46107511,1263608,5072101,9416432,8361606,7745103,5666950,4071672,2790569,2983079,0
"Egypt",2018,"Male",50070213,1368026,5386205,10417356,9130030,7987566,6138798,4439307,3205714,3365237,0
"Egypt",2018,"Female",47077155,1290757,5178739,9615303,8538948,7907491,5785162,4156582,2848873,3046057,0
"Egypt",2019,"Male",50948133,1225663,5329791,10761137,9101365,7979252,6446925,4515337,3323527,3490799,0
"Egypt",2019,"Female",47953801,1150939,5090500,9943080,8410478,7556940,6063990,4194334,3237697,3456782,0
"Libyan Arab Jamahiriya",2016,"Male",3225454,75659,277886,655509,696201,643430,403733,198370,135426,214899,0
"Libyan Arab Jamahiriya",2016,"Female",3132586,71600,265374,628806,679034,628171,403733,199641,125888,201939,0
"Libyan Arab Jamahiriya",2017,"Male",3333020,75642,289659,677379,719427,664895,417202,204987,139943,219528,0
"Libyan Arab Jamahiriya",2017,"Female",3237096,71512,276706,649785,701688,649127,417202,206301,130088,206199,0
"Mauritius",2008,"Male",607992,7903,35303,97260,98207,103266,93929,85042,52679,42306,0
"Mauritius",2008,"Female",623003,7799,33732,94783,95566,104061,94451,85653,57611,57146,0
"Mauritius",2010,"Male",612981,7265,32402,94862,100282,102081,92314,89567,57205,44268,0
"Mauritius",2010,"Female",630103,7137,31349,92051,98088,102078,93524,90559,62214,60240,0
"Mauritius",2011,"Male",614970,6969,30836,93940,101183,101278,91047,91120,60688,44878,0
"Mauritius",2011,"Female",633156,6823,30146,90807,99022,100904,92773,92526,65607,61371,0
"Mauritius",2012,"Male",616956,6971,29520,92585,101864,99664,91655,91422,63821,46425,0
"Mauritius",2012,"Female",636044,6805,29157,89061,99697,99373,93663,93218,68626,63249,0
"Mauritius",2013,"Male",602493,6762,28614,90906,96237,91452,86996,91204,66909,50175,0
"Mauritius",2013,"Female",614848,6397,28178,87604,94321,89909,84822,91358,71419,67237,0
"Mauritius",2014,"Male",603473,6497,27905,88814,96346,90004,88486,90678,69150,52090,0
"Mauritius",2014,"Female",615792,6327,27112,85980,94217,88430,85988,90506,73761,69798,0
"Mauritius",2015,"Male",604118,6301,27142,86385,96489,88362,89760,90442,70770,54768,0
"Mauritius",2015,"Female",616545,6066,26306,83838,94082,86613,87357,90090,75334,72925,0
"Mauritius",2016,"Male",604444,6168,26468,83549,96372,87701,91154,89376,71708,58116,0
"Mauritius",2016,"Female",616769,5811,25537,81248,94001,85747,88514,89010,76028,76684,0
"Mauritius",2017,"Male",604780,6220,25670,81122,95493,87760,92350,87505,73719,61161,0
"Mauritius",2017,"Female",617195,5923,24549,78907,93261,85428,89588,86928,78402,80132,0
"Mauritius",2018,"Male",626030,6650,26558,82323,98558,91222,96075,87826,77087,66381,0
"Mauritius",2018,"Female",639273,6350,25489,79805,96148,89131,93462,87201,81777,86260,0
"Mauritius",2019,"Male",626167,6605,26359,79460,98037,91967,95491,86333,79313,69207,0
"Mauritius",2019,"Female",639544,6365,25160,77199,95328,89776,92705,85773,83884,89719,0
"Mauritius",2021,"Female",640057,6354,25363,71846,93630,91605,90353,82864,87392,97004,0
"Mauritius",2020,"Male",626028,6455,26328,76672,97360,92847,94308,85521,81099,71893,0
"Mauritius",2020,"Female",639712,6405,25137,74383,94545,90589,91691,84569,85810,92988,0
"Mauritius",2021,"Male",626003,6761,26282,73957,96914,93752,93068,83792,82622,75616,0
"Morocco",2016,"Male",17180879,302496,1380062,3150195,3032748,2752881,2284283,1824876,1401831,1354003,0
"Morocco",2016,"Female",17305657,289330,1318409,3017725,3012917,2845147,2411752,1918746,1352212,1428749,0
"Reunion",2011,"Female",428941,6047.5,25733.5,68520.5,62810.5,57785.5,64881.5,60159.5,40179,48871,0
"Reunion",2011,"Male",402321.5,6118,27253,71863,63181.5,49611,58196,56694,38392.5,37130.5,0
"Rodrigues",2008,"Female",19006,395,1694,3661,3761,3058,1919,1864,1180,1869,0
"Rodrigues",2011,"Male",18754,340,1599,3998,3612,3023,1635,1978,1307,1602,0
"Rodrigues",2011,"Female",19171,306,1535,3821,3631,3204,1837,1973,1275,1895,0
"Rodrigues",2012,"Male",18864,366,1514,4088,3551,3097,1628,1913,1427,1646,0
"Rodrigues",2012,"Female",19303,372,1406,3914,3590,3238,1861,1932,1365,1997,0
"Rodrigues",2013,"Male",20368,357,1451,4149,3351,3104,2709,2256,1601,1747,0
"Rodrigues",2013,"Female",20944,337,1394,4119,3455,3290,2773,2291,1518,2104,0
"Rodrigues",2014,"Male",20522,355,1417,4170,3380,3050,2800,2240,1690,1775,0
"Rodrigues",2014,"Female",21146,343,1383,4080,3500,3220,2890,2310,1610,2153,0
"Rodrigues",2008,"Male",18564,400,1737,3756,3766,2847,1784,1969,1147,1558,0
"Rodrigues",2016,"Male",20762,341,1411,4017,3595,2801,2954,2323,1799,1862,0
"Rodrigues",2010,"Male",18711,372,1650,3916,3629,2997,1702,1971,1261,1585,0
"Rodrigues",2010,"Female",19129,366,1586,3775,3612,3198,1883,1933,1221,1921,0
"Rodrigues",2017,"Female",21691,370,1382,3906,3741,2855,3204,2448,1818,2337,0
"Rodrigues",2015,"Male",20651,337,1398,4105,3503,2917,2892,2318,1716,1802,0
"Rodrigues",2015,"Female",21291,329,1345,4046,3601,3104,2950,2392,1680,2173,0
"Rodrigues",2016,"Female",21498,377,1373,3947,3671,2965,3070,2431,1767,2274,0
"Rodrigues",2017,"Male",20947,394,1387,3961,3669,2737,3034,2350,1843,1966,0
"Seychelles",2008,"Male",44999,689,3062,6302,8662,8455,6776,5654,2820,3268,0
"Seychelles",2010,"Female",42272,713,3009,6014,6538,6133,6756,5657,3189,4976,0
"Seychelles",2012,"Male",43313,842,2700,6366,7038,6724,6881,6353,3632,3619,0
"Seychelles",2012,"Female",44990,819,2718,6244,6357,7211,7214,6477,3738,5031,0
"Seychelles",2013,"Male",44735,819,2958,6310,6804,7360,7185,6533,3932,3616,0
"Seychelles",2013,"Female",45214,791,2840,6167,6031,7154,7229,6781,3955,4905,0
"Seychelles",2014,"Male",45278,784,3070,6123,6391,7704,7445,6556,4224,3765,0
"Seychelles",2014,"Female",46081,738,2922,6229,5813,7345,7183,7248,4211,5130,0
"Seychelles",2015,"Male",46322,832,3180,6127,6243,7703,7420,6725,4833,4091,0
"Seychelles",2015,"Female",47097,769,3130,6165,5763,7235,7441,7382,4686,5295,0
"Seychelles",2008,"Female",41957,770,3010,5919,7056,6503,6425,5133,2864,5047,0
"Seychelles",2010,"Male",44253,776,2972,6207,7822,8037,7138,5720,3033,3324,0
"Seychelles",2017,"Male",48793,829,3142,5854,4182,8048,8343,7324,7078,4822,0
"Seychelles",2011,"Male",43127,773,2577,6540,7169,6615,7101,6370,3307,3448,0
"Seychelles",2011,"Female",44313,762,2611,6341,6495,7108,7230,6229,3353,4946,0
"Seychelles",2018,"Female",47503,779,2959,5986,3627,5725,7678,7778,7444,6306,0
"Seychelles",2019,"Male",49665,832,3273,6487,3949,7215,8620,7399,7314,5408,0
"Seychelles",2019,"Female",47960,795,3049,6092,3703,5433,7774,7501,7773,6635,0
"Seychelles",2021,"Male",50413,793,3268,6927,4389,6142,8855,7683,6922,6227,0
"Seychelles",2021,"Female",48845,785,3107,6605,4215,4412,7876,7475,7887,7268,0
"Seychelles",2016,"Male",47343,826,3214,6095,5407,7915,7605,6798,5988,4321,0
"Seychelles",2016,"Female",47334,802,3049,6076,4781,6798,7609,7609,5787,5625,0
"Seychelles",2020,"Male",50061,757,3311,6713,4071,6803,8710,7418,7229,5806,0
"Seychelles",2020,"Female",48401,750,3119,6289,3986,4785,7915,7576,7841,6890,0
"Seychelles",2018,"Male",49259,860,3182,6113,4029,7608,8624,7468,7225,5010,0
"Seychelles",2017,"Female",47050,794,2917,5700,3524,5900,7839,7971,7158,6041,0
"South Africa",2009,"Male",23928436,528931,2136214,5371591,4930341,4137957,2730327,1888854,1263791,1469361,0
"South Africa",2009,"Female",25546440,520965,2102253,5290078,4921147,4282980,3084169,2312171,1605128,1948514,0
"South Africa",2008,"Male",23591713,512745,2060623,5264320,4976793,3943063,2620090,1976046,1292005,1458772,0
"South Africa",2008,"Female",25201307,504958,2034108,5197475,5015977,4284107,2942125,2277223,1570276,1880017,0
"South Africa",2011,"Male",25074340.13,677126.2652,2106672.0346,5222338.388,5231881.99,4050630.042,3012081.828,2237729.806,1483258.4963,1729747.548,0
"South Africa",2011,"Female",26479138.87,655349.5875,2068225.5992,5140606.832,5142783.473,4130125.668,3323057.755,2612080.477,1786385.6032,2275873.4607,0
"South Africa",2012,"Male",25489014.91,690283.3311,2129900.6598,5227465.78,5258044.95,4215433.619,3074480.954,2277405.909,1527582.2393,1778700.7986,0
"South Africa",2014,"Female",27656386.11,597530.275,2315393.9968,5243114.095,5214288.524,4689525.766,3444161.583,2562096.262,1849670.73,2338135.1518,0
"South Africa",2015,"Male",26922639.11,573289.7351,2388168.3715,5422351.649,5155518.353,4886838.539,3451471.284,2396916.828,1571916.9746,1649457.1142,0
"South Africa",2015,"Female",28089337.57,558417.0703,2331869.7388,5323788.195,5121937.785,4939333.731,3575114.2,2616637.512,1880734.2042,2299922.202,0
"South Africa",2014,"Male",26402261.23,608947.3884,2356000.5044,5288294.942,5233069.793,4583965.013,3369895.752,2369914.371,1546594.6744,1654526.182,0
"South Africa",2010,"Male",24731937,547183,2093294,5129706,5003104,4368710,3206031,2175531,1332692,1422869,0
"South Africa",2010,"Female",26163763,537861,2066603,5103479,4935229,4377759,3439737,2495684,1622829,2122442,0
"South Africa",2013,"Male",25919349.79,704264.2107,2154583.717,5241882.35,5276678.742,4381952.65,3143678.648,2318145.81,1570430.9859,1831996.8903,0
"South Africa",2012,"Female",26852680.39,668189.4488,2090894.2039,5144891.605,5168588.285,4246464.863,3347938.038,2667161.383,1839262.2716,2347479.7432,0
